Zip,#_of_Art_Projects,#_of_Artists_Projects,%_Unemployment_2010,%_Unemployment_2011,%_Unemployment_2012,%_Unemployment_2013,%_Unemployment_2014,%_Unemployment_2015,%_Unemployment_2016,CAGR_Unemployment,#_Employemnt_in_Arts_n_Entertainment_2010,#_Employemnt_in_Arts_n_Entertainment_2011,#_Employemnt_in_Arts_n_Entertainment_2012,#_Employemnt_in_Arts_n_Entertainment_2013,#_Employemnt_in_Arts_n_Entertainment_2014,#_Employemnt_in_Arts_n_Entertainment_2015,#_Employemnt_in_Arts_n_Entertainment_2016,CAGR_Employemnt_in_Arts_n_Entertainment,#_Educated_High_School_2000,#_Educated_High_School_2010,#_Educated_High_School_2011,#_Educated_High_School_2012,#_Educated_High_School_2013,#_Educated_High_School_2014,#_Educated_High_School_2015,#_Educated_High_School_2016,CAGR_High_School_Education,#_Unemployed_2010,#_Unemployed_2011,#_Unemployed_2012,#_Unemployed_2013,#_Unemployed_2014,#_Unemployed_2015,#_Unemployed_2016,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Total_Household_Income_2000,Total_Household_Income_2010,Total_Household_Income_2011,Total_Household_Income_2012,Total_Household_Income_2013,Total_Household_Income_2014,Total_Household_Income_2015,Total_Household_Income_2016,Per_Capita_Household_Income_2000,Per_Capita_Household_Income_2010,Per_Capita_Household_Income_2011,Per_Capita_Household_Income_2012,Per_Capita_Household_Income_2013,Per_Capita_Household_Income_2014,Per_Capita_Household_Income_2015
90024,3,1,6.81%,6.95%,10.01%,10.28%,9.99%,6.95%,6.30%,-1.10%,"1,071","1,077",992,978,"1,107","1,036","1,126",0.72%,"2,285","2,076","2,051","1,707","1,553","1,926","2,023","2,169",#NUM!,"1,665","1,710","2,565","2,469","2,438","1,552","1,437","46,697","47,643","48,332","46,836","47,739","48,247","49,199","$1,697,906,393.00 ","$1,884,247,269.00 ","$1,892,021,795.00 ","$2,265,108,591.00 ","$2,203,017,606.00 ","$2,248,593,072.00 ","$2,284,803,056.00 ","$2,439,289,816.00 ","$38,321.00 ","$39,527.00 ","$39,712.00 ","$46,866.00 ","$48,738.00 ","$48,782.00 ","$48,780.00 "
90025,2,2,7.27%,7.41%,8.85%,8.96%,8.73%,6.95%,6.29%,-2.05%,"1,518","1,527","1,284","1,505","1,171","1,071","1,180",-3.53%,"3,585","3,216","3,165","2,664","3,019","2,954","3,126","3,209",#NUM!,"2,047","2,094","2,500","2,519","2,547","1,875","1,735","42,587","42,490","41,679","42,744","43,735","44,272","45,249","$1,445,427,764.00 ","$1,935,595,329.00 ","$1,954,260,196.00 ","$2,054,855,821.00 ","$2,104,497,304.00 ","$2,263,021,981.00 ","$2,335,155,692.00 ","$2,511,543,287.00 ","$34,991.00 ","$45,562.00 ","$45,993.00 ","$49,302.00 ","$49,585.00 ","$52,007.00 ","$53,056.00 "
90026,3,12,9.46%,9.64%,13.43%,15.69%,15.82%,6.95%,6.30%,-5.64%,"1,957","1,964","1,874","2,060","2,063","2,029","2,143",1.31%,"7,290","8,021","7,994","7,652","7,924","7,673","8,010","8,130",1.32,"3,636","3,736","5,562","6,444","6,486","2,548","2,310","68,574","67,072","69,600","69,624","69,855","70,695","70,513","$1,010,861,656.00 ","$1,523,716,928.00 ","$1,535,799,060.00 ","$1,738,240,743.00 ","$1,855,131,331.00 ","$1,895,248,271.00 ","$1,978,861,207.00 ","$2,031,493,095.00 ","$13,990.00 ","$22,781.00 ","$22,898.00 ","$24,975.00 ","$27,204.00 ","$27,556.00 ","$28,476.00 "
90027,3,,8.23%,8.42%,10.99%,11.37%,11.92%,6.95%,6.31%,-3.72%,"1,987","1,984","1,754","2,229","2,180","2,063","2,195",1.43%,"6,447","6,232","6,115","5,745","5,663","5,825","6,018","6,193",#NUM!,"2,391","2,444","3,258","3,340","3,521","1,874","1,712","46,956","45,556","47,385","47,823","48,282","48,459","48,804","$1,190,913,026.00 ","$1,645,012,960.00 ","$1,646,651,224.00 ","$1,808,197,494.00 ","$1,883,889,749.00 ","$1,911,997,271.00 ","$1,959,653,264.00 ","$2,076,968,222.00 ","$24,002.00 ","$35,964.00 ","$36,146.00 ","$38,160.00 ","$41,224.00 ","$41,362.00 ","$42,129.00 "
90028,1,1,8.43%,8.62%,13.18%,13.85%,14.49%,6.95%,6.29%,-4.09%,"1,547","1,553","1,211","1,499","1,687","1,625","1,701",1.36%,"3,896","4,067","4,021","3,338","3,106","3,332","3,502","3,435",#NUM!,"1,565","1,610","2,431","2,536","2,771","1,206","1,070","29,036","28,927","28,503","29,014","29,827","30,465","29,726","$473,666,210.00 ","$697,844,870.00 ","$700,506,558.00 ","$704,401,731.00 ","$745,609,608.00 ","$778,611,981.00 ","$819,811,234.00 ","$812,456,398.00 ","$15,309.00 ","$24,147.00 ","$24,216.00 ","$24,713.00 ","$28,111.00 ","$28,276.00 ","$29,715.00 "
90029,1,,9.96%,10.17%,12.89%,14.96%,15.79%,6.95%,6.30%,-6.33%,778,778,818,823,779,756,808,0.54%,"5,207","6,445","6,417","5,605","5,246","4,763","4,983","5,094",#NUM!,"2,214","2,276","2,918","3,302","3,527","1,386","1,260","39,174","39,666","40,128","39,792","40,071","40,382","40,495","$439,062,779.00 ","$665,162,499.00 ","$667,965,265.00 ","$742,210,375.00 ","$736,388,227.00 ","$743,484,710.00 ","$772,065,772.00 ","$765,045,162.00 ","$10,205.00 ","$16,761.00 ","$16,840.00 ","$18,496.00 ","$19,439.00 ","$19,364.00 ","$19,976.00 "
90031,5,13,9.23%,9.40%,13.37%,13.99%,14.63%,6.95%,6.29%,-5.33%,342,342,505,473,475,465,496,5.45%,"3,232","6,756","6,732","5,972","5,187","5,245","5,501","5,670",1.65,"1,731","1,775","2,556","2,582","2,722","1,159","1,069","38,407","39,102","39,213","39,082","39,472","39,607","40,384","$377,521,151.00 ","$558,314,972.00 ","$561,239,717.00 ","$600,698,651.00 ","$581,655,022.00 ","$596,288,483.00 ","$619,397,319.00 ","$625,374,816.00 ","$9,903.00 ","$14,268.00 ","$14,353.00 ","$15,319.00 ","$15,449.00 ","$15,350.00 ","$15,928.00 "
90032,5,,8.11%,8.25%,12.82%,15.23%,17.69%,6.93%,6.30%,-3.54%,383,387,312,424,365,357,388,0.19%,"5,249","7,177","7,171","6,547","6,449","6,714","7,001","7,189",1.58,"1,773","1,825","2,939","3,450","4,126","1,419","1,306","47,013","46,029","47,645","47,521","48,302","48,602","49,139","$554,181,072.00 ","$751,124,447.00 ","$751,802,758.00 ","$836,743,739.00 ","$896,182,053.00 ","$888,173,974.00 ","$920,824,985.00 ","$918,730,305.00 ","$11,917.00 ","$16,374.00 ","$16,333.00 ","$17,562.00 ","$19,338.00 ","$18,635.00 ","$19,209.00 "
90033,8,,10.35%,10.57%,14.07%,16.44%,18.02%,6.95%,6.31%,-6.82%,444,446,398,289,314,300,315,-4.79%,"4,463","7,873","7,862","6,608","6,310","6,030","6,276","6,342",1.57,"2,039","2,100","2,888","3,393","3,745","1,250","1,126","47,205","50,618","48,021","48,114","48,499","48,581","48,189","$365,380,087.00 ","$555,972,278.00 ","$554,262,055.00 ","$582,312,903.00 ","$599,133,561.00 ","$567,962,994.00 ","$581,644,424.00 ","$556,662,833.00 ","$7,015.00 ","$10,990.00 ","$10,950.00 ","$12,126.00 ","$13,391.00 ","$12,242.00 ","$12,563.00 "
90034,,4,6.94%,7.08%,8.65%,9.75%,10.01%,6.95%,6.29%,-1.39%,"1,561","1,566","1,502","1,611","1,562","1,493","1,582",0.19%,"6,064","5,638","5,575","4,348","4,024","4,642","4,816","4,932",#NUM!,"2,544","2,604","3,239","3,619","3,736","2,388","2,174","57,655","57,397","58,351","57,792","59,213","59,497","59,825","$1,352,932,041.00 ","$2,023,090,841.00 ","$2,035,168,029.00 ","$2,134,743,299.00 ","$2,184,560,681.00 ","$2,297,798,651.00 ","$2,370,128,725.00 ","$2,494,237,563.00 ","$23,549.00 ","$35,238.00 ","$35,458.00 ","$36,585.00 ","$38,467.00 ","$39,269.00 ","$40,445.00 "
90035,1,2,5.76%,5.85%,8.93%,11.40%,11.69%,6.93%,6.31%,1.31%,994,995,839,"1,101",836,792,848,-2.24%,"2,931","3,125","3,074","2,642","2,414","2,431","2,522","2,597",#NUM!,956,973,"1,452","1,887","2,014","1,087","1,000","28,972","29,087","29,150","29,557","29,833","29,942","30,249","$910,133,180.00 ","$1,243,891,364.00 ","$1,243,225,535.00 ","$1,414,827,836.00 ","$1,509,886,210.00 ","$1,584,287,175.00 ","$1,623,440,242.00 ","$1,739,784,804.00 ","$32,391.00 ","$42,707.00 ","$42,742.00 ","$48,536.00 ","$51,634.00 ","$53,513.00 ","$54,643.00 "
90036,4,1,6.45%,6.57%,10.06%,9.44%,10.08%,6.94%,6.31%,-0.32%,"2,103","2,105","2,032","2,290","2,231","2,109","2,221",0.78%,"2,862","3,022","2,985","2,398","2,223","2,376","2,514","2,658",#NUM!,"1,521","1,553","2,613","2,328","2,558","1,633","1,502","37,990","36,737","39,804","38,531","38,989","39,610","40,081","$1,172,750,337.00 ","$1,761,330,983.00 ","$1,773,835,474.00 ","$2,077,727,431.00 ","$2,032,885,001.00 ","$2,135,911,567.00 ","$2,219,670,441.00 ","$2,335,257,515.00 ","$35,063.00 ","$47,961.00 ","$48,285.00 ","$52,199.00 ","$53,021.00 ","$54,987.00 ","$56,262.00 "
