Zip,#_of_Art_Projects,#_of_Artists_Projects,%_Unemployment_2010,%_Unemployment_2011,%_Unemployment_2012,%_Unemployment_2013,%_Unemployment_2014,%_Unemployment_2015,%_Unemployment_2016,CAGR_Unemployment,#_Employemnt_in_Arts_n_Entertainment_2010,#_Employemnt_in_Arts_n_Entertainment_2011,#_Employemnt_in_Arts_n_Entertainment_2012,#_Employemnt_in_Arts_n_Entertainment_2013,#_Employemnt_in_Arts_n_Entertainment_2014,#_Employemnt_in_Arts_n_Entertainment_2015,#_Employemnt_in_Arts_n_Entertainment_2016,CAGR_Employemnt_in_Arts_n_Entertainment,#_Educated_High_School_2000,#_Educated_High_School_2010,#_Educated_High_School_2011,#_Educated_High_School_2012,#_Educated_High_School_2013,#_Educated_High_School_2014,#_Educated_High_School_2015,#_Educated_High_School_2016,CAGR_High_School_Education,#_Unemployed_2010,#_Unemployed_2011,#_Unemployed_2012,#_Unemployed_2013,#_Unemployed_2014,#_Unemployed_2015,#_Unemployed_2016,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Total_Household_Income_2000,Total_Household_Income_2010,Total_Household_Income_2011,Total_Household_Income_2012,Total_Household_Income_2013,Total_Household_Income_2014,Total_Household_Income_2015,Total_Household_Income_2016,Per_Capita_Household_Income_2000,Per_Capita_Household_Income_2010,Per_Capita_Household_Income_2011,Per_Capita_Household_Income_2012,Per_Capita_Household_Income_2013,Per_Capita_Household_Income_2014,Per_Capita_Household_Income_2015
91306,4,,6.96%,7.11%,9.48%,11.16%,11.04%,6.95%,6.31%,-1.39%,452,455,422,440,432,421,442,-0.32%,"5,773","6,937","6,870","6,124","6,757","6,829","7,167","7,228",1.49,"1,675","1,718","2,216","2,738","2,712","1,595","1,427","44,838","43,395","43,550","46,244","45,722","46,387","45,778","$772,199,554.00 ","$1,013,788,308.00 ","$1,016,050,591.00 ","$1,034,670,035.00 ","$1,096,516,045.00 ","$1,130,269,819.00 ","$1,182,383,696.00 ","$1,173,348,647.00 ","$17,921.00 ","$23,326.00 ","$23,414.00 ","$23,758.00 ","$24,062.00 ","$25,046.00 ","$25,802.00 "
91307,1,,6.57%,6.73%,8.84%,9.86%,10.15%,6.84%,6.20%,-0.82%,464,459,339,345,423,408,440,-0.76%,"3,052","3,429","3,361","2,746","2,917","2,995","3,126","3,207",0.88,879,899,"1,093","1,239","1,304",817,745,"24,445","24,943","23,912","25,003","24,958","25,238","25,344","$760,128,830.00 ","$1,034,046,980.00 ","$1,030,993,644.00 ","$1,089,232,845.00 ","$1,095,011,943.00 ","$1,103,319,971.00 ","$1,148,502,185.00 ","$1,220,554,563.00 ","$31,623.00 ","$41,266.00 ","$41,334.00 ","$45,552.00 ","$44,469.00 ","$44,863.00 ","$46,118.00 "
91311,5,,4.56%,4.65%,7.68%,9.64%,10.61%,6.93%,6.29%,4.71%,294,294,258,334,362,341,362,3.02%,"5,485","5,780","5,696","4,528","5,372","5,197","5,346","5,175",#NUM!,906,927,"1,484","2,035","2,264","1,347","1,166","38,206","37,166","35,276","38,401","39,101","39,074","37,465","$1,042,907,113.00 ","$1,383,591,856.00 ","$1,384,411,234.00 ","$1,405,004,629.00 ","$1,533,769,545.00 ","$1,610,737,836.00 ","$1,657,512,533.00 ","$1,696,401,898.00 ","$28,823.00 ","$37,150.00 ","$37,249.00 ","$39,829.00 ","$40,767.00 ","$42,108.00 ","$43,399.00 "
91316,,,6.69%,6.81%,8.46%,8.65%,11.21%,6.96%,6.29%,-0.88%,502,504,511,599,628,594,589,2.31%,"3,660","3,369","3,317","3,323","3,372","3,350","3,407","3,456",#NUM!,997,"1,018","1,364","1,403","1,852","1,023",909,"28,125","26,261","28,373","28,904","28,798","28,337","27,894","$950,483,474.00 ","$1,034,148,127.00 ","$1,035,018,002.00 ","$1,227,598,149.00 ","$1,288,764,285.00 ","$1,287,432,691.00 ","$1,314,806,991.00 ","$1,352,633,923.00 ","$36,198.00 ","$39,362.00 ","$39,413.00 ","$43,266.00 ","$44,667.00 ","$44,793.00 ","$46,482.00 "
91324,1,2,5.64%,5.77%,10.17%,12.87%,13.82%,6.94%,6.30%,1.61%,411,416,367,337,276,268,269,-5.88%,"2,706","3,325","3,278","2,782","3,031","3,356","3,535","3,571",1.33,872,893,"1,545","1,901","2,027",932,837,"27,069","27,886","27,089","27,572","27,576","28,071","27,779","$605,768,914.00 ","$809,922,476.00 ","$808,859,166.00 ","$811,317,611.00 ","$809,610,172.00 ","$856,235,441.00 ","$893,196,581.00 ","$931,189,713.00 ","$22,890.00 ","$28,903.00 ","$29,006.00 ","$29,950.00 ","$30,028.00 ","$31,687.00 ","$32,361.00 "
91325,1,,5.55%,5.68%,8.61%,10.82%,12.26%,6.95%,6.30%,1.83%,449,453,396,437,486,465,504,1.66%,"3,497","4,266","4,221","3,978","3,969","4,191","4,411","4,526",1.38,"1,097","1,129","1,744","2,168","2,491","1,291","1,180","38,367","36,381","37,158","39,007","38,877","39,614","39,851","$811,249,497.00 ","$1,073,360,576.00 ","$1,081,180,095.00 ","$1,105,759,677.00 ","$1,202,642,227.00 ","$1,225,175,493.00 ","$1,282,140,415.00 ","$1,351,334,001.00 ","$24,165.00 ","$29,565.00 ","$29,718.00 ","$29,758.00 ","$32,015.00 ","$32,904.00 ","$33,387.00 "
91326,1,,4.92%,5.04%,7.78%,8.37%,8.22%,6.94%,6.30%,3.62%,308,309,363,531,519,488,457,5.80%,"2,849","3,414","3,371","2,745","3,547","3,408","3,566","3,367",1.18,857,884,"1,282","1,483","1,462","1,147","1,005","33,922","33,400","31,598","34,566","34,668","34,981","33,802","$1,033,898,016.00 ","$1,408,374,136.00 ","$1,419,961,333.00 ","$1,455,520,046.00 ","$1,588,339,365.00 ","$1,672,825,551.00 ","$1,724,763,869.00 ","$1,824,859,538.00 ","$36,966.00 ","$42,197.00 ","$42,514.00 ","$46,064.00 ","$46,037.00 ","$48,351.00 ","$49,417.00 "
91330,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,0,-1.00,0,0,0,0,0,0,0,0,3,0,0,0,0,0,N/A,"$86,400.00 ","$86,400.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,N/A,"$28,800.00 ","$28,800.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
91331,4,1,8.93%,9.12%,11.72%,13.25%,14.55%,6.95%,6.29%,-4.88%,873,878,907,"1,018",927,910,942,1.09%,"8,872","13,838","13,781","13,776","14,397","14,881","15,689","15,714",2.02,"4,342","4,469","5,908","6,656","7,490","3,250","2,907","106,399","101,924","105,543","108,843","108,426","109,970","108,506","$1,052,380,081.00 ","$1,392,714,790.00 ","$1,386,960,607.00 ","$1,510,216,345.00 ","$1,606,321,225.00 ","$1,577,084,126.00 ","$1,646,672,255.00 ","$1,564,071,583.00 ","$10,818.00 ","$13,669.00 ","$13,608.00 ","$14,309.00 ","$14,927.00 ","$14,666.00 ","$15,089.00 "
91335,5,,6.53%,6.66%,10.17%,11.41%,11.73%,6.95%,6.31%,-0.48%,735,738,717,912,797,781,829,1.73%,"9,720","12,811","12,708","10,936","10,896","11,719","12,285","12,349",1.68,"2,491","2,555","3,908","4,428","4,518","2,479","2,228","72,306","72,432","70,795","73,847","73,572","74,594","73,846","$1,115,848,650.00 ","$1,560,718,747.00 ","$1,562,384,531.00 ","$1,594,465,705.00 ","$1,704,686,963.00 ","$1,696,864,225.00 ","$1,777,105,795.00 ","$1,779,140,240.00 ","$16,536.00 ","$21,530.00 ","$21,570.00 ","$22,522.00 ","$24,007.00 ","$23,794.00 ","$24,580.00 "
91340,1,,10.69%,10.90%,13.30%,13.72%,13.53%,6.93%,6.31%,-7.26%,243,242,184,291,304,298,311,3.59%,"3,351","4,871","4,849","5,072","4,659","4,652","4,899","4,978",1.52,"1,784","1,830","2,328","2,271","2,209","1,043",947,"32,365","33,275","34,541","33,445","32,977","33,586","33,492","$365,972,520.00 ","$487,406,863.00 ","$485,042,252.00 ","$542,044,535.00 ","$579,678,229.00 ","$584,536,204.00 ","$609,795,445.00 ","$601,484,024.00 ","$10,979.00 ","$14,639.00 ","$14,577.00 ","$15,693.00 ","$17,597.00 ","$18,009.00 ","$18,452.00 "
91342,2,,7.03%,7.16%,10.34%,12.20%,12.63%,6.94%,6.30%,-1.55%,741,740,675,920,944,921,980,4.07%,"10,331","13,512","13,429","12,411","12,750","13,406","14,048","14,271",1.81,"3,184","3,264","4,633","5,590","5,877","2,955","2,674","93,203","91,957","89,803","93,954","95,294","96,187","95,734","$1,255,600,425.00 ","$1,829,564,338.00 ","$1,824,820,686.00 ","$1,880,621,987.00 ","$2,025,962,564.00 ","$2,036,477,233.00 ","$2,112,539,927.00 ","$2,096,643,225.00 ","$15,076.00 ","$19,876.00 ","$19,844.00 ","$20,942.00 ","$22,403.00 ","$22,200.00 ","$22,690.00 "
91343,3,,6.57%,6.70%,8.61%,11.99%,13.36%,6.95%,6.31%,-0.57%,461,462,540,615,518,504,544,2.39%,"6,295","7,539","7,478","6,791","6,915","6,919","7,268","7,426",1.41,"1,995","2,047","2,702","3,715","4,169","1,982","1,806","59,614","59,180","60,570","60,986","60,642","61,436","61,660","$868,041,081.00 ","$1,191,392,611.00 ","$1,194,854,533.00 ","$1,273,526,584.00 ","$1,358,640,378.00 ","$1,359,852,219.00 ","$1,424,626,243.00 ","$1,450,799,890.00 ","$15,567.00 ","$20,141.00 ","$20,190.00 ","$21,026.00 ","$22,865.00 ","$22,998.00 ","$23,772.00 "
91344,1,,7.36%,7.50%,10.31%,11.63%,11.86%,6.94%,6.28%,-2.23%,472,472,412,480,646,615,652,4.72%,"6,786","7,955","7,872","7,648","8,184","8,183","8,599","8,806",1.59,"1,956","2,004","2,829","3,191","3,322","1,794","1,635","52,368","50,262","51,605","53,236","53,277","54,082","54,436","$1,246,682,349.00 ","$1,637,364,411.00 ","$1,642,131,710.00 ","$1,730,505,286.00 ","$1,817,717,287.00 ","$1,873,681,275.00 ","$1,950,403,034.00 ","$2,055,767,606.00 ","$26,131.00 ","$32,575.00 ","$32,671.00 ","$33,534.00 ","$34,690.00 ","$35,577.00 ","$36,653.00 "
91345,4,,7.79%,7.94%,8.53%,10.48%,9.58%,6.94%,6.32%,-2.93%,182,183,151,205,128,122,131,-4.59%,"2,958","3,583","3,579","3,439","3,261","3,238","3,405","3,331",1.10,751,773,827,"1,004",898,605,533,"18,669","18,528","19,083","19,051","19,006","19,304","18,540","$318,720,425.00 ","$405,576,470.00 ","$406,503,565.00 ","$465,951,875.00 ","$472,056,167.00 ","$449,152,289.00 ","$467,448,455.00 ","$453,065,445.00 ","$17,555.00 ","$21,959.00 ","$21,940.00 ","$24,417.00 ","$25,308.00 ","$24,008.00 ","$24,686.00 "
91352,7,,8.08%,8.25%,11.01%,12.80%,14.98%,6.96%,6.31%,-3.47%,361,361,201,278,287,288,308,-2.24%,"4,970","7,083","7,067","6,383","7,063","7,339","7,822","7,932",1.72,"1,813","1,866","2,455","3,056","3,603","1,524","1,374","47,367","46,516","45,394","48,565","48,303","49,526","49,085","$602,398,978.00 ","$748,548,667.00 ","$747,671,525.00 ","$738,402,730.00 ","$914,317,792.00 ","$911,652,426.00 ","$955,329,143.00 ","$951,717,125.00 ","$13,396.00 ","$16,105.00 ","$16,073.00 ","$16,267.00 ","$19,268.00 ","$19,234.00 ","$19,561.00 "
91356,2,,6.47%,6.61%,9.92%,9.64%,10.46%,6.96%,6.31%,-0.35%,700,703,631,577,551,533,536,-3.74%,"3,317","3,763","3,699","3,308","3,138","3,129","3,301","3,159",#NUM!,918,937,"1,383","1,428","1,543",950,815,"28,300","26,424","26,094","28,693","28,718","29,276","27,822","$1,070,387,621.00 ","$1,134,758,885.00 ","$1,129,976,290.00 ","$1,204,338,862.00 ","$1,355,192,037.00 ","$1,317,960,696.00 ","$1,370,563,195.00 ","$1,419,328,926.00 ","$37,563.00 ","$42,779.00 ","$42,763.00 ","$46,154.00 ","$47,780.00 ","$46,398.00 ","$47,323.00 "
91364,,,4.97%,5.09%,8.06%,10.09%,9.68%,6.94%,6.31%,3.47%,680,679,667,683,686,658,693,0.27%,"2,660","2,709","2,660","2,068","2,565","2,891","3,034","3,105",1.14,749,766,"1,196","1,402","1,314",884,806,"25,317","26,750","25,706","25,808","25,743","26,120","26,221","$1,107,758,216.00 ","$1,456,580,136.00 ","$1,453,812,855.00 ","$1,461,612,991.00 ","$1,390,755,832.00 ","$1,361,060,849.00 ","$1,407,006,027.00 ","$1,502,490,798.00 ","$43,642.00 ","$54,233.00 ","$54,348.00 ","$56,859.00 ","$54,354.00 ","$53,117.00 ","$54,175.00 "
91367,5,,5.49%,5.62%,7.78%,8.12%,8.05%,6.95%,6.28%,1.94%,887,897,818,873,851,802,838,-0.81%,"4,259","4,577","4,505","3,832","3,915","3,506","3,660","3,731",#NUM!,"1,155","1,186","1,668","1,719","1,708","1,374","1,239","37,930","38,091","38,656","38,756","38,752","39,219","39,139","$1,258,952,017.00 ","$1,627,782,147.00 ","$1,631,635,526.00 ","$1,710,231,551.00 ","$1,827,365,872.00 ","$1,845,965,633.00 ","$1,916,503,785.00 ","$2,028,095,094.00 ","$34,874.00 ","$42,709.00 ","$42,835.00 ","$44,242.00 ","$47,435.00 ","$47,833.00 ","$49,070.00 "
91371,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,0,-1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,N/A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
91401,1,,7.35%,7.49%,10.17%,11.79%,12.53%,6.94%,6.30%,-2.18%,993,992,963,998,932,915,969,-0.35%,"4,685","6,045","5,978","5,421","5,703","5,223","5,475","5,553",1.33,"1,517","1,552","2,237","2,633","2,857","1,468","1,329","39,238","37,833","38,935","39,887","39,932","40,613","40,491","$748,864,183.00 ","$1,092,931,014.00 ","$1,094,005,124.00 ","$1,142,184,709.00 ","$1,150,496,144.00 ","$1,172,477,813.00 ","$1,225,393,426.00 ","$1,264,969,203.00 ","$18,881.00 ","$28,865.00 ","$28,917.00 ","$29,336.00 ","$29,456.00 ","$29,687.00 ","$30,501.00 "
91402,5,,8.83%,9.00%,11.98%,14.70%,15.58%,6.95%,6.30%,-4.71%,566,569,419,267,246,236,253,-10.87%,"6,334","9,952","9,904","9,445","8,924","9,202","9,624","9,686",1.76,"3,051","3,129","4,272","5,118","5,471","2,174","1,954","68,099","68,389","70,052","68,815","69,700","70,167","69,480","$727,724,741.00 ","$970,996,800.00 ","$973,707,392.00 ","$1,029,054,867.00 ","$1,000,792,220.00 ","$987,100,586.00 ","$1,032,592,763.00 ","$999,166,593.00 ","$11,039.00 ","$14,197.00 ","$14,238.00 ","$14,690.00 ","$14,779.00 ","$14,365.00 ","$14,920.00 "
91403,1,,5.78%,5.91%,6.45%,7.49%,8.24%,6.95%,6.31%,1.25%,860,857,715,766,711,661,682,-3.26%,"2,470","2,552","2,507","2,150","2,075","1,878","1,947","1,947",#NUM!,849,869,954,"1,081","1,156",905,798,"21,815","23,334","23,429","22,672","22,374","22,455","21,833","$1,000,399,551.00 ","$1,204,686,762.00 ","$1,205,794,761.00 ","$1,327,947,917.00 ","$1,361,058,897.00 ","$1,353,429,074.00 ","$1,398,790,867.00 ","$1,468,164,778.00 ","$43,989.00 ","$51,542.00 ","$51,675.00 ","$56,680.00 ","$60,092.00 ","$60,528.00 ","$62,357.00 "
91405,3,,8.41%,8.58%,12.29%,13.32%,13.77%,6.94%,6.30%,-4.04%,681,684,840,"1,012",843,814,868,3.53%,"5,666","8,988","8,899","9,397","8,779","8,779","9,163","9,336",1.79,"2,245","2,299","3,779","3,988","4,248","1,952","1,773","57,047","51,566","58,384","57,575","58,311","58,926","58,925","$680,765,543.00 ","$917,332,574.00 ","$915,891,787.00 ","$1,112,773,761.00 ","$1,181,438,731.00 ","$1,149,582,142.00 ","$1,177,967,439.00 ","$1,184,563,485.00 ","$13,299.00 ","$17,762.00 ","$17,762.00 ","$19,060.00 ","$21,327.00 ","$20,440.00 ","$20,718.00 "
91406,3,1,6.38%,6.52%,8.88%,10.65%,11.54%,6.93%,6.30%,-0.20%,596,600,508,660,748,726,755,3.44%,"6,053","8,923","8,877","7,774","7,639","7,537","7,924","7,929",1.57,"1,717","1,767","2,288","2,751","2,939","1,647","1,472","48,227","51,406","48,620","49,147","49,007","49,956","48,814","$822,435,317.00 ","$1,119,167,769.00 ","$1,121,258,386.00 ","$1,194,344,799.00 ","$1,247,576,510.00 ","$1,213,249,058.00 ","$1,266,590,035.00 ","$1,278,250,846.00 ","$16,250.00 ","$21,813.00 ","$21,812.00 ","$24,565.00 ","$25,614.00 ","$25,011.00 ","$25,599.00 "
91411,2,,7.47%,7.63%,11.09%,11.03%,13.11%,6.93%,6.31%,-2.39%,627,627,661,751,648,624,665,0.84%,"3,016","3,647","3,597","2,843","2,664","2,516","2,640","2,667",#NUM!,"1,048","1,071","1,637","1,539","1,840",897,814,"23,195","23,705","24,559","23,735","23,553","23,916","23,831","$409,065,823.00 ","$615,102,544.00 ","$614,732,480.00 ","$713,532,154.00 ","$696,250,357.00 ","$680,835,789.00 ","$711,889,358.00 ","$731,417,372.00 ","$17,796.00 ","$25,861.00 ","$25,933.00 ","$29,054.00 ","$29,593.00 ","$29,174.00 ","$30,052.00 "
91423,3,,7.07%,7.18%,9.77%,11.22%,12.11%,6.95%,6.28%,-1.67%,"1,436","1,438","1,475","1,615","1,407","1,351","1,436",0.00%,"3,043","3,267","3,212","2,461","2,412","2,404","2,477","2,566",#NUM!,"1,325","1,349","1,827","2,083","2,312","1,220","1,117","29,216","30,185","29,900","29,930","29,920","29,972","30,444","$1,159,411,090.00 ","$1,488,406,094.00 ","$1,488,561,795.00 ","$1,728,152,575.00 ","$1,732,078,434.00 ","$1,752,254,848.00 ","$1,800,005,138.00 ","$1,941,719,365.00 ","$40,793.00 ","$49,254.00 ","$49,315.00 ","$57,798.00 ","$58,298.00 ","$58,900.00 ","$60,418.00 "
91436,1,,4.26%,4.28%,6.50%,6.49%,8.38%,6.95%,6.30%,5.75%,355,363,350,314,326,304,319,-1.52%,"1,254",944,936,901,961,"1,003","1,048","1,060",#NUM!,282,287,446,464,625,484,436,"14,715","14,164","14,402","14,776","15,115","15,248","15,150","$792,035,111.00 ","$878,301,230.00 ","$884,804,372.00 ","$1,058,409,287.00 ","$1,064,814,128.00 ","$1,062,116,288.00 ","$1,091,874,239.00 ","$1,177,889,902.00 ","$59,664.00 ","$62,464.00 ","$62,469.00 ","$73,490.00 ","$72,186.00 ","$70,419.00 ","$71,768.00 "
91601,3,,8.24%,8.44%,11.91%,13.24%,14.08%,6.95%,6.30%,-3.76%,"1,551","1,549","1,430","1,757","1,724","1,628","1,721",1.50%,"4,399","4,986","4,936","4,378","4,077","4,346","4,491","4,606",0.95,"1,910","1,955","2,873","3,160","3,430","1,509","1,373","37,416","36,231","37,966","38,151","38,182","37,860","38,031","$617,207,146.00 ","$984,615,651.00 ","$982,082,390.00 ","$1,133,039,920.00 ","$1,186,719,888.00 ","$1,244,104,285.00 ","$1,261,594,250.00 ","$1,286,681,088.00 ","$16,812.00 ","$27,077.00 ","$27,106.00 ","$29,844.00 ","$31,341.00 ","$32,803.00 ","$33,507.00 "
91602,,2,9.91%,10.12%,12.30%,15.50%,15.30%,6.94%,6.31%,-6.26%,"1,003","1,002","1,147","1,528","1,325","1,298","1,386",4.73%,"1,764","1,934","1,898","1,890","1,855","1,629","1,681","1,743",#NUM!,"1,150","1,175","1,489","1,979","1,991",812,745,"17,691","16,875","17,114","17,985","18,175","18,237","18,425","$609,803,518.00 ","$831,465,860.00 ","$831,603,834.00 ","$897,973,299.00 ","$949,743,849.00 ","$1,017,756,921.00 ","$1,051,399,502.00 ","$1,116,475,804.00 ","$36,748.00 ","$49,211.00 ","$49,280.00 ","$52,470.00 ","$52,832.00 ","$56,023.00 ","$57,679.00 "
91604,4,,7.28%,7.40%,10.67%,12.01%,13.15%,6.95%,6.31%,-2.02%,"1,503","1,508","1,735","2,179","1,903","1,852","1,897",3.38%,"2,615","2,612","2,564","2,073","2,195","2,377","2,477","2,449",#NUM!,"1,214","1,237","1,880","2,203","2,432","1,177","1,054","27,614","27,439","27,671","28,331","28,272","28,493","28,056","$1,278,825,745.00 ","$1,538,486,100.00 ","$1,538,935,750.00 ","$1,843,264,748.00 ","$1,895,284,631.00 ","$1,936,737,327.00 ","$1,991,396,759.00 ","$2,081,076,097.00 ","$48,945.00 ","$55,996.00 ","$56,086.00 ","$66,614.00 ","$67,758.00 ","$68,946.00 ","$70,639.00 "
91605,2,,9.99%,10.19%,13.76%,14.57%,14.67%,6.93%,6.30%,-6.38%,568,571,593,713,593,578,614,1.12%,"6,173","7,928","7,868","7,602","7,274","7,323","7,700","7,705",1.50,"2,822","2,892","4,151","4,317","4,372","1,885","1,678","56,518","56,519","58,464","58,938","57,590","58,485","57,486","$675,937,926.00 ","$899,897,901.00 ","$899,282,141.00 ","$983,905,886.00 ","$1,028,565,146.00 ","$1,026,359,162.00 ","$1,067,771,073.00 ","$1,029,392,558.00 ","$11,669.00 ","$15,891.00 ","$15,911.00 ","$16,829.00 ","$18,223.00 ","$18,270.00 ","$18,689.00 "
91606,,,10.14%,10.35%,13.41%,14.92%,16.23%,6.95%,6.30%,-6.57%,767,767,772,723,824,810,858,1.61%,"5,245","6,915","6,853","6,382","6,286","6,341","6,617","6,606",1.46,"2,345","2,404","3,494","3,820","4,177","1,592","1,434","45,552","43,415","46,834","46,609","46,449","46,903","46,681","$606,374,385.00 ","$809,168,329.00 ","$807,061,460.00 ","$942,037,256.00 ","$993,602,389.00 ","$989,343,964.00 ","$1,027,662,625.00 ","$1,023,782,004.00 ","$13,495.00 ","$18,613.00 ","$18,589.00 ","$20,114.00 ","$21,507.00 ","$21,515.00 ","$22,117.00 "
91607,,,8.34%,8.51%,12.49%,14.30%,14.67%,6.94%,6.30%,-3.92%,"1,133","1,132","1,092","1,307","1,043","1,041","1,078",-0.71%,"3,403","3,638","3,572","2,883","2,970","3,025","3,153","3,241",#NUM!,"1,407","1,434","2,090","2,448","2,531","1,092",982,"27,659","27,963","27,351","28,162","28,360","28,678","28,401","$746,370,494.00 ","$1,038,865,268.00 ","$1,034,499,490.00 ","$1,114,317,492.00 ","$1,189,058,553.00 ","$1,258,651,473.00 ","$1,306,896,500.00 ","$1,329,801,013.00 ","$26,737.00 ","$36,970.00 ","$36,995.00 ","$40,741.00 ","$42,845.00 ","$44,753.00 ","$46,005.00 "
